Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HasPool,HasMisc,HasAlley,HasFence,HasAltHeating,HouseAge,RemodelAge,GarageAge,TotalPorchSF,TotalBath,TotalSF,SalePrice_raw
11,20,RL,4.2626798770413155,9.32375833901174,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.810142450115136,Unf,0.0,4.90527477843843,6.947937068614969,Ex,Y,SBrkr,6.947937068614969,0.0,0.0,6.947937068614969,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,TA,1.791759469228055,Typ,0.0,NA,Detchd,1965.0,Unf,1,384,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2008,WD,Normal,11.771443882099637,0,0,0,0,0,43,43,43.0,0,2.0,2080,129500
12,60,RL,4.454347296253507,9.386392315756542,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,5.659482215759621,Ex,TA,PConc,Ex,TA,No,GLQ,6.906754778648554,Unf,0.0,5.181783550292085,7.069874128458572,Ex,Y,SBrkr,7.075808863978387,7.04141166379481,0.0,7.751475318021456,0.6931471805599453,0.0,3,0.0,4,0.6931471805599453,Ex,2.4849066497880004,Typ,1.0986122886681098,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,4.997212273764115,3.091042453358316,0.0,0.0,0.0,0.0,0.0,7,2006,New,Partial,12.75130259456002,0,0,0,0,0,1,0,1.0,21,4.0,3499,345000
13,20,RL,4.276666119016055,9.470317173335742,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,NA,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.6039438246004725,Unf,0.0,5.170483995038151,6.816735880594968,TA,Y,SBrkr,6.816735880594968,0.0,0.0,6.816735880594968,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,TA,1.6094379124341003,Typ,0.0,NA,Detchd,1962.0,Unf,1,352,TA,TA,Y,4.948759890378168,0.0,0.0,0.0,5.176149732573829,0.0,0.0,9,2008,WD,Normal,11.87757552297847,0,0,0,0,0,46,46,46.0,176,2.0,1824,144000
14,20,RL,4.5217885770490405,9.273596821611198,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,5.726847747587197,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,7.3098814858247865,7.3098814858247865,Ex,Y,SBrkr,7.3098814858247865,0.0,0.0,7.3098814858247865,0.0,0.0,2,0.0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,0.6931471805599453,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,8,2007,New,Partial,12.540761149388421,0,0,0,0,0,1,0,1.0,33,2.0,2988,279500
15,20,RL,4.30406509320417,9.298442820197728,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,5.3612921657094255,TA,TA,CBlock,TA,TA,No,BLQ,6.598509028614515,Unf,0.0,6.255750041753367,7.134093721192866,TA,Y,SBrkr,7.134093721192866,0.0,0.0,7.134093721192866,0.6931471805599453,0.0,1,0.6931471805599453,2,0.6931471805599453,TA,1.791759469228055,Typ,0.6931471805599453,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0.0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,0.0,5,2008,WD,Normal,11.964007453736912,0,0,0,1,0,48,48,48.0,389,2.5,2506,157000
16,45,RM,3.9512437185814275,8.71948076085107,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.725033642166843,6.725033642166843,Ex,Y,FuseA,6.75110146893676,0.0,0.0,6.75110146893676,0.0,0.0,1,0.0,2,0.6931471805599453,TA,1.791759469228055,Typ,0.0,NA,Detchd,1991.0,Unf,2,576,TA,TA,Y,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,0.0,0.0,7,2007,WD,Normal,11.790564777297387,0,0,0,1,0,78,6,16.0,112,1.0,1686,132000
17,20,RL,4.30406509320417,9.32741204356202,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,TA,TA,CBlock,TA,TA,No,ALQ,6.361302477572996,Unf,0.0,6.056784013228625,6.912742820493176,Ex,Y,SBrkr,6.912742820493176,0.0,0.0,6.912742820493176,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,TA,1.791759469228055,Typ,0.6931471805599453,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,6.55250788703459,3,2010,WD,Normal,11.91170829631447,0,1,0,0,0,40,40,40.0,0,2.0,2008,149000
18,90,RL,4.290459441148391,9.286560397887591,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,TA,Y,SBrkr,7.167809184316444,0.0,0.0,7.167809184316444,0.0,0.0,2,0.0,2,1.0986122886681098,TA,1.9459101490553132,Typ,0.0,NA,CarPort,1967.0,Unf,2,516,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,10,2006,WD,Normal,11.407576060361786,0,1,0,0,0,39,39,39.0,0,2.0,1296,90000
19,20,RL,4.204692619390966,9.524859098381523,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,NA,0.0,TA,TA,PConc,TA,TA,No,GLQ,6.472346294500901,Unf,0.0,6.150602768446279,7.016609683894219,Ex,Y,SBrkr,7.016609683894219,0.0,0.0,7.016609683894219,0.6931471805599453,0.0,1,0.6931471805599453,3,0.6931471805599453,Gd,1.9459101490553132,Typ,0.0,NA,Detchd,2004.0,Unf,2,576,TA,TA,Y,0.0,4.634728988229636,0.0,0.0,0.0,0.0,0.0,6,2008,WD,Normal,11.976665770490767,0,0,0,0,0,4,4,4.0,102,2.5,2228,159000
20,20,RL,4.2626798770413155,8.93075873555827,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,NA,0.0,TA,TA,CBlock,TA,TA,No,LwQ,6.22455842927536,Unf,0.0,6.26530121273771,6.937314081223682,TA,Y,SBrkr,7.200424892944957,0.0,0.0,7.200424892944957,0.0,0.0,1,0.0,3,0.6931471805599453,TA,1.9459101490553132,Min1,0.0,NA,Attchd,1958.0,Unf,1,294,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2009,COD,Abnorml,11.842236406331555,0,0,0,1,0,51,44,51.0,0,1.0,2368,139000
21,60,RL,4.624972813284271,9.562123369834488,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,5.942799375126701,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.055312843339752,7.055312843339752,Ex,Y,SBrkr,7.055312843339752,7.105786129481271,0.0,7.773594467360194,0.0,0.0,3,0.6931471805599453,4,0.6931471805599453,Gd,2.302585092994046,Typ,0.6931471805599453,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0.0,0.0,11,2006,New,Partial,12.692506186542177,0,0,0,0,0,1,0,1.0,154,3.5,3534,325300
22,45,RM,4.060443010546419,8.915969311373605,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,6.45833828334479,6.45833828334479,Ex,Y,FuseF,7.011213987350367,0.0,0.0,7.011213987350367,0.0,0.0,1,0.0,3,0.6931471805599453,Gd,1.9459101490553132,Typ,0.6931471805599453,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0.0,0.0,5.327876168789581,0.0,0.0,0.0,0.0,6,2007,WD,Normal,11.845109950883979,0,0,1,1,0,77,57,77.0,205,1.0,1745,139400
23,20,RL,4.330733340286331,9.184304357425342,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,5.641907070938114,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.48324441607385,7.48324441607385,Ex,Y,SBrkr,7.493317248862145,0.0,0.0,7.493317248862145,0.0,0.0,2,0.0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,0.6931471805599453,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,5.147494476813453,5.075173815233827,0.0,0.0,0.0,0.0,0.0,9,2008,WD,Normal,12.345838935721968,0,0,0,0,0,6,6,6.0,159,2.0,3572,230000
24,120,RM,3.8066624897703196,8.348774539791274,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,NA,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.734591659972948,Unf,0.0,5.303304908059076,6.947937068614969,TA,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,TA,1.9459101490553132,Typ,0.6931471805599453,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0.0,0.0,6,2007,WD,Normal,11.774527900858468,0,0,0,0,0,31,31,31.0,110,2.0,2100,129900
25,20,RL,4.276666119016055,9.017604776833355,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,NA,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,5.241747015059643,ALQ,6.505784060128229,5.3230099791384085,6.966967138613983,Ex,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,Gd,1.9459101490553132,Typ,0.6931471805599453,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,6.008813185442595,4.51085950651685,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal,11.944714374881176,0,0,0,1,0,42,9,42.0,90,2.0,2120,154000
26,20,RL,4.709530201312334,9.56317796268366,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,6.46302945692067,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,7.356918242356021,7.356918242356021,Ex,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,0.0,0.0,2,0.0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,0.6931471805599453,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0.0,4.04305126783455,0.0,0.0,0.0,0.0,0.0,7,2009,WD,Normal,12.454107814022272,0,0,0,0,0,2,2,2.0,56,2.0,3166,256300
27,20,RL,4.110873864173311,8.881975184248867,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,NA,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,5.459585514144159,Rec,6.18826412308259,5.198497031265826,6.803505257608338,TA,Y,SBrkr,6.803505257608338,0.0,0.0,6.803505257608338,0.0,0.6931471805599453,1,0.0,3,0.6931471805599453,Gd,1.791759469228055,Typ,0.0,NA,Detchd,2005.0,Unf,2,576,TA,TA,Y,5.407171771460119,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal,11.811554895830454,0,0,0,0,0,59,10,5.0,32,1.5,1800,134800
28,20,RL,4.59511985013459,9.348274558065496,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,5.303304908059076,Gd,TA,PConc,Ex,TA,No,GLQ,7.105786129481271,Unf,0.0,6.18826412308259,7.4413203897176174,Ex,Y,SBrkr,7.4413203897176174,0.0,0.0,7.4413203897176174,0.6931471805599453,0.0,2,0.0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,0.6931471805599453,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0.0,3.9318256327243257,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal,12.631343648903034,0,0,0,0,0,3,2,2.0,50,3.0,3408,306000
29,20,RL,3.871201010907891,9.700269170029188,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,7.15305163493748,Unf,0.0,5.337538079701318,7.3031700512368,TA,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,TA,1.9459101490553132,Typ,1.0986122886681098,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,5.666426688112432,5.556828061699537,0.0,0.0,0.0,0.0,0.0,12,2006,WD,Normal,12.242891437918386,0,0,0,0,0,49,9,49.0,258,2.0,3084,207500
30,30,RM,4.110873864173311,8.752265313595721,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,NA,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.255750041753367,6.255750041753367,Fa,N,SBrkr,6.255750041753367,0.0,0.0,6.255750041753367,0.0,0.0,1,0.0,1,0.6931471805599453,Fa,1.6094379124341003,Typ,0.0,NA,Detchd,1920.0,Unf,1,240,Fa,TA,Y,3.912023005428146,0.0,4.477336814478207,0.0,0.0,0.0,0.0,5,2008,WD,Normal,11.134603622683905,0,0,0,0,0,81,58,88.0,87,1.0,1040,68500
31,70,C (all),3.9318256327243257,9.04793908261736,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,NA,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,6.476972362889683,6.476972362889683,TA,N,SBrkr,6.476972362889683,6.505784060128229,0.0,7.183870715062453,0.0,0.0,1,0.0,3,0.6931471805599453,TA,1.9459101490553132,Typ,0.0,NA,Detchd,1920.0,Unf,1,250,TA,Fa,N,0.0,4.007333185232471,5.153291594497779,0.0,0.0,0.0,0.0,7,2008,WD,Normal,10.596659732783579,0,0,1,1,0,88,58,88.0,226,1.0,1966,40000
32,20,RL,4.276666119016055,9.053101595549691,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,NA,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,7.113956109566034,7.113956109566034,Gd,Y,SBrkr,7.113956109566034,0.0,0.0,7.113956109566034,0.0,0.0,1,0.6931471805599453,3,0.6931471805599453,Gd,1.9459101490553132,Typ,0.0,NA,Attchd,1966.0,Unf,1,271,TA,TA,Y,0.0,4.189654742026425,0.0,0.0,0.0,0.0,0.0,6,2008,WD,Normal,11.914054519303125,0,0,0,1,0,42,2,42.0,65,1.5,2456,149350
33,20,RL,4.454347296253507,9.3101857069459,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,NA,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,7.118826249062078,7.118826249062078,Ex,Y,SBrkr,7.118826249062078,0.0,0.0,7.118826249062078,0.0,0.0,2,0.0,3,0.6931471805599453,Gd,2.0794415416798357,Typ,0.0,NA,Attchd,2007.0,RFn,2,484,TA,TA,Y,0.0,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,1,2008,WD,Normal,12.100161978566867,0,0,0,0,0,1,1,1.0,30,2.0,2468,179900
34,20,RL,4.2626798770413155,9.26416545867109,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,NA,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.926577033222725,Unf,0.0,5.942799375126701,7.243512974665482,Gd,Y,SBrkr,7.438971592395862,0.0,0.0,7.438971592395862,0.0,0.6931471805599453,1,0.6931471805599453,4,0.6931471805599453,Gd,1.9459101490553132,Typ,0.6931471805599453,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0.0,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,4,2010,WD,Normal,12.016732516077072,0,0,0,0,0,51,51,51.0,38,2.0,3098,165500
35,120,RL,4.110873864173311,8.897545598709327,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,5.5093883366279774,Ex,TA,PConc,Ex,TA,No,GLQ,7.050989447068045,Unf,0.0,6.013715156042802,7.3537223303996315,Ex,Y,SBrkr,7.3537223303996315,0.0,0.0,7.3537223303996315,0.6931471805599453,0.0,2,0.0,2,0.6931471805599453,Ex,1.9459101490553132,Typ,0.6931471805599453,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,5.318119993844216,3.871201010907891,0.0,0.0,0.0,0.0,0.0,8,2007,WD,Normal,12.533579815765737,0,0,0,0,0,2,2,2.0,47,3.0,3122,277500
